Day,Rain,Discharge
1,2.03,9.10E-03
2,2.03,9.04E-03
3,2.03,9.03E-03
4,2.03,9.03E-03
5,2.03,0.01058932
6,7.49,0.010704143
7,7.49,9.67E-03
8,7.49,0.014157909
9,7.49,
10,13.34,
11,13.34,
12,13.34,
13,13.34,
14,2.54,
15,15.24,
16,0,
17,9.33,
18,9.33,
19,9.33,
20,9.33,
21,1.27,
22,9.4,
23,23.37,
24,14.31,
25,14.31,
26,14.31,
27,0.51,
28,0,
29,3.05,
30,0,
31,2.2,
32,2.2,
33,2.2,
34,3.3,
35,0.76,
36,5.59,
37,0.51,
38,7.79,
39,7.79,
40,7.79,
41,0.76,
42,0,
43,2.03,
44,0,
45,30.92,
46,30.92,
47,30.92,
48,30.92,
49,0.51,
50,4.32,
51,0,
52,18.37,
53,18.37,
54,18.37,
55,9.91,
56,3.05,
57,0.76,
58,0,
59,0,
60,0,
61,0,0.010275536
62,0,0.011907091
63,0,0.025288085
64,0,9.12E-03
65,0,8.47E-03
66,17.78,8.43E-03
67,17.78,8.68E-03
68,17.78,8.61E-03
69,6.1,0.012266034
70,2.54,0.034405821
71,36.83,0.04502703
72,9.65,0.014847085
73,3.05,0.010671627
74,3.05,8.70E-03
75,3.05,8.66E-03
76,0,8.43E-03
77,0,8.55E-03
78,0,8.57E-03
79,0,8.85E-03
80,2.1,8.96E-03
81,2.1,9.08E-03
82,2.1,9.27E-03
83,2.1,9.28E-03
84,0,9.46E-03
85,1.83,9.56E-03
86,1.83,9.01E-03
87,1.83,9.44E-03
88,1.83,9.67E-03
89,1.83,9.45E-03
90,0,0.010044548
91,2.54,0.010353673
92,10.41,0.015934824
93,10.41,9.26E-03
94,10.41,0.013657582
95,10.41,0.011586943
96,10.41,9.43E-03
97,0.76,9.36E-03
98,0,8.57E-03
99,8.89,
100,10.41,
101,5,
102,5,
103,5,
104,17.78,
105,0,
106,0,
107,19.05,
108,3.05,
109,3.05,
110,3.05,
111,0,
112,0,
113,0,
114,0,
115,0,
116,0,
117,0,
118,0,
119,0,
120,0,
121,0,
122,0.34,
123,0.34,
124,0.34,
125,0,
126,0,
127,0,
128,0,
129,3.64,
130,3.64,
131,3.64,
132,1.02,
133,0,
134,0,
135,8.51,
136,8.51,
137,8.51,
138,8.51,
139,0,
140,5.59,
141,0.51,
142,0,
143,2.22,
144,2.22,
145,2.22,
146,2.22,
147,0,
148,0,
149,0.25,
150,13.97,
151,13.97,
152,0,
153,0.51,
154,3.05,0.011228353
155,0,0.011668396
156,0,0.011666121
157,0.34,0.011852161
158,0.34,0.011144171
159,0.34,0.01116253
160,0,0.011514832
161,0.51,0.010631569
162,29.46,0.010787522
163,0.51,0.011405701
164,0.76,0.011073222
165,0.76,0.012033717
166,0.76,0.013125966
167,0,0.013151456
168,1.27,0.012473677
169,0.51,0.015659254
170,6.35,0.018360991
171,6.35,0.018580423
172,6.35,0.017278837
173,6.35,0.013723515
174,1.52,0.014277663
175,1.02,0.018320258
176,5.21,0.020384636
177,5.21,0.014861722
178,2.54,0.016954704
179,2.54,0.018004639
180,2.54,0.019500785
181,0.51,0.014920852
182,22.86,9.98E-03
183,0,0.01650388
184,0.51,0.018610177
185,1.27,0.01856627
186,1.27,0.019763103
187,1.27,0.020210195
188,0.25,0.022188854
189,0,0.021699255
190,0,0.019691483
191,0,0.023320863
192,5.08,0.02215851
193,5.08,0.014549536
194,5.08,0.016994102
195,5.08,0.021683449
196,0,0.021886273
197,1.52,0.023362387
198,1.4,0.024514215
199,1.4,0.023241436
200,1.4,0.022656316
201,1.4,0.020940896
202,5.08,0.018608221
203,0,0.018365461
204,2.29,0.019122042
205,0,0.019123974
206,0,0.01818021
207,0,0.017615706
208,0,0.020049143
209,0.51,0.020390139
210,0,0.020948183
211,6.48,0.020679423
212,6.48,0.015408143
213,5.42,0.019066184
214,5.42,0.017979101
215,5.42,0.012512208
216,0,0.01715446
217,0,0.016504993
218,1.02,0.016409305
219,5.08,0.012345955
220,5.08,0.011411976
221,5.08,0.012927549
222,5.08,0.015505329
223,0.25,0.015804039
224,0,0.015301356
225,3.81,0.016217102
226,0.51,0.016272245
227,8.64,0.012507958
228,8.64,9.52E-03
229,8.64,0.01269293
230,2.54,0.015817342
231,0,0.016401085
232,0,0.016244713
233,2.03,0.015352281
234,2.03,0.017592714
235,2.03,0.016988561
236,2.03,0.016261414
237,47.5,0.022714277
238,7.62,0.012327079
239,24.79,0.048763548
240,24.79,0.11146688
241,24.79,9.03E-03
242,24.79,9.65E-03
243,24.79,9.94E-03
244,2.03,0.054460405
245,24.64,0.021140802
246,0,9.46E-03
247,0,0.011211381
248,4,0.011210142
249,4,0.011273092
250,4,0.011497562
251,4,9.60E-03
252,2.79,0.010841558
253,5.84,0.0103927
254,6.35,0.010771972
255,4.91,
256,4.91,
257,4.91,
258,4.32,9.16E-03
259,14.73,9.39E-03
260,0,8.69E-03
261,0.51,9.45E-03
262,7.45,8.68E-03
263,7.45,9.58E-03
264,7.45,9.80E-03
265,0.25,9.68E-03
266,3.56,8.65E-03
267,0,9.18E-03
268,0,9.44E-03
269,0,9.59E-03
270,0,9.92E-03
271,0,0.010006702
272,0,0.010132065
273,0,0.010361997
274,2.54,9.70E-03
275,1.27,9.78E-03
276,6.18,0.013222318
277,6.18,0.010539543
278,6.18,0.01317212
279,0.25,0.012949058
280,7.87,0.010391387
281,1.78,9.98E-03
282,12.45,9.53E-03
283,10.1,0.018091329
284,10.1,9.90E-03
285,10.1,0.011374306
286,10.1,9.88E-03
287,7.11,0.010941566
288,11.68,0.015838197
289,7.62,0.010049662
290,3.3,0.010606656
291,3.3,0.014948936
292,3.3,0.016439655
293,1.52,0.018179908
294,0,0.020000418
295,0,0.020582724
296,0,0.019605748
297,9.99,0.016109027
298,9.99,0.02090213
299,9.99,9.40E-03
300,0.51,0.014058339
301,5.59,0.010878203
302,1.52,0.014388498
303,2.54,0.016484352
304,21.59,0.020448309
305,21.59,0.084280085
306,21.59,0.027485243
307,9.4,0.012403347
308,7.11,0.011139731
309,3.3,0.013888394
310,10.16,0.013534764
311,10.16,0.038361733
312,10.16,0.011779567
313,10.16,8.58E-03
314,10.16,9.38E-03
315,2.03,9.16E-03
316,0,0.010440996
317,2.03,9.49E-03
318,9.31,0.010284619
319,9.31,9.59E-03
320,9.31,0.025832028
321,12.19,9.07E-03
322,6.1,0.011980518
323,8.89,0.030550423
324,8.89,0.010821477
325,1.95,0.012740298
326,1.95,0.016623553
327,1.95,0.019282021
328,0,0.022771195
329,0,0.023746962
330,17.42,0.025549167
331,17.42,0.026587047
332,17.42,0.090726629
333,17.42,0.014620439
334,17.42,8.89E-03
335,3.05,0.041278934
336,21.34,0.01244081
337,8.74,0.010021601
338,8.74,9.68E-03
339,8.74,0.010584238
340,8.74,0.018881117
341,8.74,0.021409147
342,8.13,0.0257397
343,4.57,8.98E-03
344,0,0.010398088
345,0.51,8.83E-03
346,0.85,8.44E-03
347,0.85,8.41E-03
348,0.85,8.47E-03
349,0,8.62E-03
350,1.02,8.68E-03
351,0,9.03E-03
352,0,9.35E-03
353,10.41,0.012788271
354,10.41,0.019262791
355,10.41,8.55E-03
356,4.57,9.28E-03
357,5.08,8.49E-03
358,9.1,0.022248306
359,9.1,0.014541045
360,9.1,0.020513794
361,9.1,0.011148285
362,9.1,0.017572709
363,9.1,9.31E-03
364,15.75,0.064572691
365,12.7,0.01320114
